id,seed,level,player_build_id,opponent_build_id,player_archetype_id,opponent_archetype_id,player_power,opponent_power,duration,winner,reason,event_count,anti_stall,barrier_absorbed,healing,summons_created,player_final_hp_percent,opponent_final_hp_percent,alerts,damage_by_source,damage_by_type,player_damage_by_source,opponent_damage_by_source,player_damage_by_type,opponent_damage_by_type,spell_casts
L16_M0050,battle_lab:draxos_mobile_battle_lab_v3_initial_balance:L16_M0050:battle_lab_character_rework_20260525:progression_bot:bot_freemium_basic_15h_m12:battle_lab_character_rework_20260525:progression_save:spender_light_15h,16,PLBOT_bot_freemium_basic_15h_m12,PL_spender_light_15h,starter_instrument,familiar_handler,1062,2534,15.7,familiar_handler,combatant_defeated,87,false,0,0,0,0,55.12,,weapon:1585|spell:92|dot:93|pet:50,arcano:1585|fogo:185|morte:50,weapon:553,weapon:1032|spell:92|dot:93|pet:50,arcano:553,arcano:1032|fogo:185|morte:50,sussurro_medo:4|marca_brasa:3
L16_M0051,battle_lab:draxos_mobile_battle_lab_v3_initial_balance:L16_M0051:battle_lab_character_rework_20260525:progression_save:spender_light_15h:battle_lab_character_rework_20260525:progression_bot:bot_freemium_basic_15h_p0,16,PL_spender_light_15h,PLBOT_bot_freemium_basic_15h_p0,familiar_handler,familiar_handler,2534,2382,21.7,familiar_handler,combatant_defeated,169,false,0,0,0,6.73,0,,weapon:1770|spell:180|dot:267|pet:121,arcano:1770|fogo:447|morte:121,weapon:911|spell:93|dot:143|pet:63,weapon:859|spell:87|dot:124|pet:58,arcano:911|fogo:236|morte:63,arcano:859|fogo:211|morte:58,sussurro_medo:9|marca_brasa:6
L16_M0052,battle_lab:draxos_mobile_battle_lab_v3_initial_balance:L16_M0052:battle_lab_character_rework_20260525:progression_bot:bot_freemium_basic_15h_p0:battle_lab_character_rework_20260525:progression_save:spender_light_15h,16,PLBOT_bot_freemium_basic_15h_p0,PL_spender_light_15h,familiar_handler,familiar_handler,2382,2534,22.7,familiar_handler,combatant_defeated,178,false,0,0,0,0.19,0,,weapon:1900|spell:180|dot:267|pet:121,arcano:1900|fogo:447|morte:121,weapon:994|spell:87|dot:124|pet:58,weapon:906|spell:93|dot:143|pet:63,arcano:994|fogo:211|morte:58,arcano:906|fogo:236|morte:63,sussurro_medo:10|marca_brasa:6
L16_M0053,battle_lab:draxos_mobile_battle_lab_v3_initial_balance:L16_M0053:battle_lab_character_rework_20260525:progression_save:spender_light_15h:battle_lab_character_rework_20260525:progression_bot:bot_freemium_basic_15h_p12,16,PL_spender_light_15h,PLBOT_bot_freemium_basic_15h_p12,familiar_handler,funeral_burst,2534,2032,20.2,familiar_handler,combatant_defeated,127,false,0,0,0,26.89,0,,weapon:1773|spell:183|dot:133|pet:123,arcano:1773|fogo:226|raio:90|morte:123,weapon:1036|spell:93|dot:133|pet:63,weapon:737|spell:90|pet:60,arcano:1036|fogo:226|morte:63,arcano:737|raio:90|morte:60,sussurro_medo:4|descarga_nervosa:3|marca_brasa:3
L16_M0054,battle_lab:draxos_mobile_battle_lab_v3_initial_balance:L16_M0054:battle_lab_character_rework_20260525:progression_bot:bot_freemium_basic_15h_p12:battle_lab_character_rework_20260525:progression_save:spender_light_15h,16,PLBOT_bot_freemium_basic_15h_p12,PL_spender_light_15h,funeral_burst,familiar_handler,2032,2534,20.2,familiar_handler,combatant_defeated,128,false,0,0,0,0,26.89,,weapon:1774|spell:183|dot:133|pet:123,arcano:1774|fogo:226|raio:90|morte:123,weapon:737|spell:90|pet:60,weapon:1037|spell:93|dot:133|pet:63,arcano:737|raio:90|morte:60,arcano:1037|fogo:226|morte:63,descarga_nervosa:3|sussurro_medo:4|marca_brasa:3
L16_M0055,battle_lab:draxos_mobile_battle_lab_v3_initial_balance:L16_M0055:battle_lab_character_rework_20260525:progression_save:spender_light_15h:battle_lab_character_rework_20260525:progression_bot:bot_spender_light_15h_m12,16,PL_spender_light_15h,PLBOT_bot_spender_light_15h_m12,familiar_handler,starter_instrument,2534,1092,15.7,familiar_handler,combatant_defeated,87,false,0,0,0,52.53,0,,weapon:1615|spell:92|dot:93|pet:50,arcano:1615|fogo:185|morte:50,weapon:1032|spell:92|dot:93|pet:50,weapon:583,arcano:1032|fogo:185|morte:50,arcano:583,sussurro_medo:4|marca_brasa:3
L16_M0056,battle_lab:draxos_mobile_battle_lab_v3_initial_balance:L16_M0056:battle_lab_character_rework_20260525:progression_bot:bot_spender_light_15h_m12:battle_lab_character_rework_20260525:progression_save:spender_light_15h,16,PLBOT_bot_spender_light_15h_m12,PL_spender_light_15h,starter_instrument,familiar_handler,1092,2534,15.7,familiar_handler,combatant_defeated,87,false,0,0,0,0,52.53,,weapon:1615|spell:92|dot:93|pet:50,arcano:1615|fogo:185|morte:50,weapon:583,weapon:1032|spell:92|dot:93|pet:50,arcano:583,arcano:1032|fogo:185|morte:50,sussurro_medo:4|marca_brasa:3
L16_M0057,battle_lab:draxos_mobile_battle_lab_v3_initial_balance:L16_M0057:battle_lab_character_rework_20260525:progression_save:spender_light_15h:battle_lab_character_rework_20260525:progression_bot:bot_spender_light_15h_p0,16,PL_spender_light_15h,PLBOT_bot_spender_light_15h_p0,familiar_handler,familiar_handler,2534,2534,21.7,familiar_handler,combatant_defeated,169,false,0,0,0,0.09,0,,weapon:1817|spell:186|dot:286|pet:126,arcano:1817|fogo:472|morte:126,weapon:911|spell:93|dot:143|pet:63,weapon:906|spell:93|dot:143|pet:63,arcano:911|fogo:236|morte:63,arcano:906|fogo:236|morte:63,sussurro_medo:9|marca_brasa:6
L16_M0058,battle_lab:draxos_mobile_battle_lab_v3_initial_balance:L16_M0058:battle_lab_character_rework_20260525:progression_bot:bot_spender_light_15h_p0:battle_lab_character_rework_20260525:progression_save:spender_light_15h,16,PLBOT_bot_spender_light_15h_p0,PL_spender_light_15h,familiar_handler,familiar_handler,2534,2534,21.7,familiar_handler,combatant_defeated,169,false,0,0,0,0.09,0,,weapon:1817|spell:186|dot:286|pet:126,arcano:1817|fogo:472|morte:126,weapon:911|spell:93|dot:143|pet:63,weapon:906|spell:93|dot:143|pet:63,arcano:911|fogo:236|morte:63,arcano:906|fogo:236|morte:63,sussurro_medo:9|marca_brasa:6
L16_M0059,battle_lab:draxos_mobile_battle_lab_v3_initial_balance:L16_M0059:battle_lab_character_rework_20260525:progression_save:spender_light_15h:battle_lab_character_rework_20260525:progression_bot:bot_spender_light_15h_p12,16,PL_spender_light_15h,PLBOT_bot_spender_light_15h_p12,familiar_handler,funeral_burst,2534,2149,20.2,familiar_handler,combatant_defeated,127,false,0,0,0,22.85,0,,weapon:1813|spell:186|dot:133|pet:127,arcano:1813|fogo:226|raio:93|morte:127,weapon:1036|spell:93|dot:133|pet:63,weapon:777|spell:93|pet:64,arcano:1036|fogo:226|morte:63,arcano:777|raio:93|morte:64,sussurro_medo:4|descarga_nervosa:3|marca_brasa:3
